id,ST,STATE,OCC_CODE1,OCC_CODE2,OCC_TITLE,TOT_EMP,LOC_Q,A_MEAN
1,AL,Alabama,0,0,All Occupations,1824400,1,39550
1,AL,Alabama,11,0,Management Occupations,66790,0.75,102420
1,AL,Alabama,11,1011,Chief Executives,1330,0.37,179680
1,AL,Alabama,11,1021,General and Operations Managers,27040,1.02,115610
1,AL,Alabama,11,1031,Legislators,1070,1.34,19860
1,AL,Alabama,11,2011,Advertising and Promotions Managers,110,0.28,87250
1,AL,Alabama,11,2021,Marketing Managers,640,0.27,110920
1,AL,Alabama,11,2022,Sales Managers,2190,0.45,102760
1,AL,Alabama,11,2031,Public Relations and Fundraising Managers,490,0.65,90900
1,AL,Alabama,11,3011,Administrative Services Managers,870,0.23,91100
1,AL,Alabama,11,3021,Computer and Information Systems Managers,2770,0.64,112210
1,AL,Alabama,11,3031,Financial Managers,4120,0.61,108100
1,AL,Alabama,11,3051,Industrial Production Managers,2550,1.14,90360
1,AL,Alabama,11,3061,Purchasing Managers,960,0.98,100740
1,AL,Alabama,11,3071,"Transportation, Storage, and Distribution Managers",860,0.62,84580
1,AL,Alabama,11,3111,Compensation and Benefits Managers,110,0.39,81120
1,AL,Alabama,11,3121,Human Resources Managers,970,0.71,93060
1,AL,Alabama,11,3131,Training and Development Managers,130,0.33,87390
1,AL,Alabama,11,9021,Construction Managers,2050,0.71,88910
1,AL,Alabama,11,9031,"Education Administrators, Preschool and Childcare Center/Program",300,0.44,57840
1,AL,Alabama,11,9032,"Education Administrators, Elementary and Secondary School",3110,0.98,77340
1,AL,Alabama,11,9033,"Education Administrators, Postsecondary",2030,1.18,100990
1,AL,Alabama,11,9039,"Education Administrators, All Other",530,1.3,83140
1,AL,Alabama,11,9041,Architectural and Engineering Managers,2720,1.03,119990
1,AL,Alabama,11,9051,Food Service Managers,2050,0.77,56010
1,AL,Alabama,11,9061,Funeral Service Managers,420,3.3,50110
1,AL,Alabama,11,9081,Lodging Managers,550,1.31,46240
1,AL,Alabama,11,9111,Medical and Health Services Managers,2230,0.54,92480
1,AL,Alabama,11,9121,Natural Sciences Managers,180,0.27,111780
1,AL,Alabama,11,9131,Postmasters and Mail Superintendents,450,1.34,63350
1,AL,Alabama,11,9141,"Property, Real Estate, and Community Association Managers",490,0.22,72140
1,AL,Alabama,11,9151,Social and Community Service Managers,830,0.51,62120
1,AL,Alabama,11,9161,Emergency Management Directors,130,1,63230
1,AL,Alabama,11,9199,"Managers, All Other",2490,0.53,92290
1,AL,Alabama,13,0,Business and Financial Operations Occupations,65480,0.73,65810
1,AL,Alabama,13,1011,"Agents and Business Managers of Artists, Performers, and Athletes",70,0.44,77750
1,AL,Alabama,13,1021,"Buyers and Purchasing Agents, Farm Products",200,1.35,61220
1,AL,Alabama,13,1022,"Wholesale and Retail Buyers, Except Farm Products",570,0.38,58110
1,AL,Alabama,13,1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",5950,1.51,63250
1,AL,Alabama,13,1031,"Claims Adjusters, Examiners, and Investigators",3240,0.88,59530
1,AL,Alabama,13,1032,"Insurance Appraisers, Auto Damage",520,3.17,74960
1,AL,Alabama,13,1041,Compliance Officers,1650,0.52,62070
1,AL,Alabama,13,1051,Cost Estimators,2520,0.92,56000
1,AL,Alabama,13,1071,Human Resources Specialists,4040,0.73,57410
1,AL,Alabama,13,1075,Labor Relations Specialists,1010,0.95,46050
1,AL,Alabama,13,1081,Logisticians,3880,2.32,81720
1,AL,Alabama,13,1111,Management Analysts,4530,0.6,92410
1,AL,Alabama,13,1121,"Meeting, Convention, and Event Planners",410,0.41,48450
1,AL,Alabama,13,1131,Fundraisers,440,0.64,52310
1,AL,Alabama,13,1141,"Compensation, Benefits, and Job Analysis Specialists",470,0.39,58710
1,AL,Alabama,13,1151,Training and Development Specialists,2300,0.75,54730
1,AL,Alabama,13,1161,Market Research Analysts and Marketing Specialists,2280,0.41,58600
1,AL,Alabama,13,1199,"Business Operations Specialists, All Other",6530,0.5,74460
1,AL,Alabama,13,2011,Accountants and Auditors,14290,0.9,63340
1,AL,Alabama,13,2021,Appraisers and Assessors of Real Estate,750,0.9,*
1,AL,Alabama,13,2031,Budget Analysts,1190,1.45,72760
1,AL,Alabama,13,2041,Credit Analysts,730,0.85,51920
1,AL,Alabama,13,2051,Financial Analysts,730,0.22,73580
1,AL,Alabama,13,2052,Personal Financial Advisors,800,0.32,90280
1,AL,Alabama,13,2053,Insurance Underwriters,690,0.54,51160
1,AL,Alabama,13,2061,Financial Examiners,250,0.63,75260
1,AL,Alabama,13,2071,Credit Counselors,230,0.59,36540
1,AL,Alabama,13,2072,Loan Officers,3210,0.8,61980
1,AL,Alabama,13,2081,"Tax Examiners and Collectors, and Revenue Agents",1000,1.09,53410
1,AL,Alabama,13,2082,Tax Preparers,330,0.39,34160
1,AL,Alabama,13,2099,"Financial Specialists, All Other",680,0.33,65190
1,AL,Alabama,15,0,Computer and Mathematical Occupations,38150,0.76,71740
1,AL,Alabama,15,1111,Computer and Information Research Scientists,310,0.9,104280
1,AL,Alabama,15,1121,Computer Systems Analysts,5470,0.81,80670
1,AL,Alabama,15,1122,Information Security Analysts,1020,1,74460
1,AL,Alabama,15,1131,Computer Programmers,4750,1.07,79990
1,AL,Alabama,15,1132,"Software Developers, Applications",3640,0.44,86510
1,AL,Alabama,15,1133,"Software Developers, Systems Software",3330,0.61,95810
1,AL,Alabama,15,1134,Web Developers,660,0.46,52290
1,AL,Alabama,15,1141,Database Administrators,1780,1.14,68450
1,AL,Alabama,15,1142,Network and Computer Systems Administrators,4820,0.98,68440
1,AL,Alabama,15,1143,Computer Network Architects,740,0.39,83750
1,AL,Alabama,15,1151,Computer User Support Specialists,7310,0.99,43550
1,AL,Alabama,15,1152,Computer Network Support Specialists,1510,0.64,52830
1,AL,Alabama,15,1199,"Computer Occupations, All Other",1800,0.69,80910
1,AL,Alabama,15,2011,Actuaries,30,0.12,75190
1,AL,Alabama,15,2031,Operations Research Analysts,730,0.75,88620
1,AL,Alabama,15,2041,Statisticians,230,0.64,56050
1,AL,Alabama,17,0,Architecture and Engineering Occupations,39900,1.21,78760
1,AL,Alabama,17,1011,"Architects, Except Landscape and Naval",910,0.78,76650
1,AL,Alabama,17,1012,Landscape Architects,**,**,52370
1,AL,Alabama,17,1021,Cartographers and Photogrammetrists,520,3.26,47520
1,AL,Alabama,17,1022,Surveyors,560,0.99,54610
1,AL,Alabama,17,2011,Aerospace Engineers,3270,2.9,114590
1,AL,Alabama,17,2031,Biomedical Engineers,**,**,81400
1,AL,Alabama,17,2041,Chemical Engineers,530,1.19,90250
1,AL,Alabama,17,2051,Civil Engineers,3620,1,71910
1,AL,Alabama,17,2061,Computer Hardware Engineers,1280,1.15,99530
1,AL,Alabama,17,2071,Electrical Engineers,4020,1.79,89830
1,AL,Alabama,17,2072,"Electronics Engineers, Except Computer",1880,1,97820
